gbifID	accessRights	bibliographicCitation	language	license	modified	publisher	references	rightsHolder	type	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	caste	behavior	vitality	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialEntityID	materialEntityRemarks	verbatimLabel	materialSampleID	eventID	parentEventID	eventType	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	superfamily	family	subfamily	tribe	subtribe	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1320118667					2025-09-25 11:22:00					urn:lsid:biocol.org:col:15463	urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8		US	US	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/380f8e37f-6a27-44a0-b82e-0eb811c8d381	US 134352	s.n.	-- Gray		1																																					1881-10		304	304	1881	10		-- Oct 1881										North America, United States	North America				United States																																																											Morgan, J.														Boltonia asteroides var. decurrens							Plantae, Dicotyledonae, Asterales, Asteraceae, Asteroideae	Plantae		Dicotyledonae	Asterales		Asteraceae				Boltonia				asteroides	decurrens		variety		(Torr. & A. Gray) Engelm. in A. Gray					
1319449393					2025-09-25 11:22:00					urn:lsid:biocol.org:col:15463	urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8		US	US	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/36368c062-2547-461e-8f21-c510576ab3b1	US 1947282	9033	V. H. Chase		1																																					1947-08-26		238	238	1947	8	26	26 Aug 1947										North America, United States, Illinois, Peoria	North America				United States		Illinois	Peoria																																																								Morgan, J.														Boltonia asteroides var. decurrens							Plantae, Dicotyledonae, Asterales, Asteraceae, Asteroideae	Plantae		Dicotyledonae	Asterales		Asteraceae				Boltonia				asteroides	decurrens		variety		(Torr. & A. Gray) Engelm. in A. Gray					
1317593275					2025-09-25 11:22:00					urn:lsid:biocol.org:col:15463	urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8		US	US	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/3114ae6db-3634-4b76-b1f1-266d59bd5755	US 1947283	9033	V. H. Chase		1																																					1947-08-26		238	238	1947	8	26	26 Aug 1947										North America, United States, Illinois, Peoria	North America				United States		Illinois	Peoria																																																								Morgan, J.														Boltonia asteroides var. decurrens							Plantae, Dicotyledonae, Asterales, Asteraceae, Asteroideae	Plantae		Dicotyledonae	Asterales		Asteraceae				Boltonia				asteroides	decurrens		variety		(Torr. & A. Gray) Engelm. in A. Gray					
1317545970					2025-09-25 11:22:00					urn:lsid:biocol.org:col:15463	urn:uuid:60e28f81-e634-4869-aa3e-732caed713c8		US	US	NMNH Extant Biology		PreservedSpecimen				http://n2t.net/ark:/65665/30f36f25d-adf7-4893-90bb-2fbfb22b1cad	US 72375	s.n.	Vasey, --		1																																					1873				1873			-- --- 1873										North America, United States, Illinois	North America				United States		Illinois																																																									Morgan, J.														Boltonia asteroides var. decurrens							Plantae, Dicotyledonae, Asterales, Asteraceae, Asteroideae	Plantae		Dicotyledonae	Asterales		Asteraceae				Boltonia				asteroides	decurrens		variety		(Torr. & A. Gray) Engelm. in A. Gray					
1305165534				https://creativecommons.org/licenses/by-nc/4.0/	2021-03-10T21:25:22Z		https://www.inaturalist.org/observations/3974657	Vanessa Voelker					iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation	Coordinate uncertainty increased to 27908m to protect threatened taxon			http://www.inaturalist.org/observations/3974657	3974657		Vanessa Voelker																								Endemic to Illinois River Valley flood plains. Listed as federally threatened, endangered in MO, threatened in IL.															2016-08-07							2016-08-07																US	Illinois				Illinois, US												40.6473263528	-89.5055954114	EPSG:4326	27908																																		7722488				Vanessa Voelker		2016-08-27T19:29:06Z				159307								Boltonia decurrens								Plantae	Tracheophyta	Magnoliopsida	Asterales		Asteraceae				Boltonia							species							
1274588955				These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset.				NatureServe					NTSRV	MO-NHP	NatureServe Network Species Occurrence Data		HumanObservation				42-6692-1660	42-6692-1660																																								11	1994-09-21				1994										http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.161342				North America				UNITED STATES		Missouri	St. Charles				128																																																											196243							Boltonia decurrens (Torr. & Gray) Wood)								Plantae	Anthophyta	Dicotyledoneae	Asterales		Asteraceae				Boltonia				decurrens			Species		(Torr. & Gray) Wood)					
1274588716				These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset.				NatureServe					NTSRV	MO-NHP	NatureServe Network Species Occurrence Data		HumanObservation				42-1284-1660	42-1284-1660																																								6	1991-10-24				1991										http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.161342				North America				UNITED STATES		Missouri	St. Charles																																																															196243							Boltonia decurrens (Torr. & Gray) Wood)								Plantae	Anthophyta	Dicotyledoneae	Asterales		Asteraceae				Boltonia				decurrens			Species		(Torr. & Gray) Wood)					
1274588714				These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset.				NatureServe					NTSRV	MO-NHP	NatureServe Network Species Occurrence Data		HumanObservation				42-4831-1598	42-4831-1598																																								16	2001				2001										http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.161342				North America				UNITED STATES		Missouri	Franklin																																																															196243							Boltonia decurrens (Torr. & Gray) Wood)								Plantae	Anthophyta	Dicotyledoneae	Asterales		Asteraceae				Boltonia				decurrens			Species		(Torr. & Gray) Wood)					
1274588673				These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset.				NatureServe					NTSRV	MO-NHP	NatureServe Network Species Occurrence Data		HumanObservation				42-10599-1660	42-10599-1660																																								12	2015-09-30				2015										http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.161342				North America				UNITED STATES		Missouri	St. Charles																																																															196243							Boltonia decurrens (Torr. & Gray) Wood)								Plantae	Anthophyta	Dicotyledoneae	Asterales		Asteraceae				Boltonia				decurrens			Species		(Torr. & Gray) Wood)					
1274588635				These data are made available by NatureServe with permission of the relevant natural heritage programs and conservation data centers (http://www.natureserve.org/visitLocal/index.jsp), and use of these data is governed by the terms of NatureServe's data sharing agreements with these independent data custodians. These data are available for non-commercial conservation, educational, and research use, but may not be repackaged or redistributed in any form without written permission. Appropriate acknowledgment of NatureServe and its natural heritage program members should be made in any reports or other products derived from these data. NatureServe makes no warranty as to the currency, completeness, or accuracy of these data, and shall have no liability or responsibility to the data users, or any other person or entity with respect to any liability, loss, or damage caused or alleged to be caused directly or indirectly by the dataset.				NatureServe					NTSRV	MO-NHP	NatureServe Network Species Occurrence Data		PreservedSpecimen				42-5925-1664	42-5925-1664																																								14	1879				1879										http://www.natureserve.org/explorer/servlet/NatureServe?searchSpeciesUid=ELEMENT_GLOBAL.2.161342				North America				UNITED STATES		Missouri	St. Louis (city)																																																															196243							Boltonia decurrens (Torr. & Gray) Wood)								Plantae	Anthophyta	Dicotyledoneae	Asterales		Asteraceae				Boltonia				decurrens			Species		(Torr. & Gray) Wood)					
