index,mean_stemLength,c_stemLength,SD_stemLength,sample_size
172,43.1,"32.9, 43.2, 43.3, 47.7, 42.5, 47.2, 42.6, 45.1, 43.1, 43.1",4.0,10
173,,,,
174,106.1,"106.7, 105.4",0.9,2
175,,,,
176,53.7,"52.8, 45.4, 59, 53, 53.4, 57.6, 52.7, 55.8, 53.7, 53.7",3.6,10
177,142.4,"146.9, 137.8",6.4,2
178,,,,
179,,,,
180,22.0,"21.6, 23.5, 22.1, 22.6, 22, 21.6, 21.8, 21.2, 21.3, 22.6, 22, 22",0.6,12
181,36.3,"12.7, 42.3, 42.5, 42, 42, 36.3, 36.3",10.8,7
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,127.4,"128, 126.7",0.9,2
188,73.8,"70.9, 76.5, 70.2, 69.8, 79, 76, 73.9, 73.8, 73.8",3.1,9
189,108.5,"109.4, 107.5",1.3,2
190,46.0,"46.1, 45.6, 46.4, 46.3, 45.3, 46.3, 46, 46",0.4,8
191,,,,
192,,,,
193,,,,
194,,,,
195,43.3,"42.2, 42.1, 50.3, 42.5, 41.7, 42.1, 42, 42.2, 44.9, 43.3, 43.3",2.5,11
196,,,,
197,,,,
198,72.9,"72.6, 73.1, 72.9",0.3,3
199,90.7,"91.2, 90.2",0.7,2
200,67.0,"67.4, 66.7, 66.9, 67.2, 66.8, 67, 67",0.2,7
201,111.2,"110.2, 112.1, 111.2",1.0,3
202,33.2,"33.6, 32.7, 33.8, 33.7, 33, 32.4, 33, 33.7, 33.2, 33.2",0.5,10
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
210,,,,
211,70.6,"71.1, 70, 70.6, 70.6",0.4,4
212,,,,
213,,,,
214,,,,
215,,,,
216,96.0,"95.7, 96.3, 96",0.3,3
217,,,,
218,,,,
219,,,,
220,,,,
221,70.4,"70.3, 70.6, 70.4",0.2,3
222,98.2,"99.8, 96.5, 98.2",1.7,3
223,,,,
224,,,,
225,62.1,"61.4, 62.4, 62.8, 62, 61.6, 61.8, 62.8, 62.1, 62.1",0.5,9
226,64.3,"64.6, 65, 64.4, 64.5, 63.8, 63.6, 64.2, 64.3, 64.3",0.4,9
227,,,,
228,,,,
