Sample_Name,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Sample_Species,index,label,MaternalLine,FlowerHead,State,County,Latitude,Longitude,Google_latitude,Google_longitude,Adapted_Longitude,Adapted_Latitude,PC1_variance,PC2_variance,shape_number
Boltonia_210,0.012956,-6.85059e-4,6.7064e-4,0.0021565,0.00461012,-7.69132e-4,7.01055e-4,0.00379683,-0.00179214,0.00103349,B. decurrens,210,9-3-4,2011-2598-1,S16A,Illinois,Jersey,NA,NA,38.961398423802066,-90.51481032460988,-90.51481032460988,38.961398423802066,4.494366810369465,1.7090556653626248,23
Boltonia_211,-0.00204753,0.00201307,7.87646e-4,0.0561902,0.0924467,-0.0181948,-0.00300415,-0.0119861,0.00470915,-0.0331602,B. decurrens,211,8-1-2,2011-2635-1,31,Illinois,Alton,NA,NA,38.86501904919102,-90.22302347588696,-90.22302347588696,38.86501904919102,4.494366810369465,1.7090556653626248,23
Boltonia_212,0.0157131,-3.31048e-4,6.67252e-4,-0.00538668,-0.00642976,0.0016443,-7.91835e-4,0.00957786,3.19095e-5,2.33737e-4,B. decurrens,212,12-6-2,2011-2675-1,10A,Illinois,Schuyler,40.0672223,-90.4275,40.07010712467176,-90.42899627731744,-90.4275,40.0672223,4.494366810369465,1.7090556653626248,23
Boltonia_213,-0.00168584,0.00288361,-5.07439e-4,0.0585321,0.0936729,-0.017802,-0.00212388,-0.0129489,0.00261487,-0.0353246,B. decurrens,213,5-1-5,2011-2635-1,35?,Illinois,Alton,NA,NA,38.86501904919102,-90.22302347588696,-90.22302347588696,38.86501904919102,4.494366810369465,1.7090556653626248,23
Boltonia_214,-0.00390712,0.00303123,3.75411e-4,0.0702193,0.102307,-0.0191359,0.00587779,-0.011361,-0.00355528,0.041029500000000003,B. decurrens,214,11-5-6,2011-2609-1,7C,Illinois,Madison,38.6891666,-90.0972222,38.69652811427051,-90.085926104309,-90.0972222,38.6891666,4.494366810369465,1.7090556653626248,23
Boltonia_215,0.018936,-0.00331412,8.0532e-5,-0.0181373,-0.0285888,0.00510957,0.0148978,-0.118891,-8.54906e-4,-2.91058e-4,B. decurrens,215,4-1-10,2011-2664-1,1,Illinois,Fulton,40.2047222,-90.1994444,40.207444479612775,-90.1871999885973,-90.1994444,40.2047222,4.494366810369465,1.7090556653626248,23
Boltonia_216,-0.138737,0.1066,0.0484105,-0.0520605,0.0087332,0.0224659,0.00825581,-7.53578e-4,0.0107481,0.0298557,B. decurrens,216,2-4-8,2011-2636-1,21,Illinois,Cass,40.010555600000004,-90.4458333,40.0178975293398,-90.42445029519196,-90.4458333,40.010555600000004,4.494366810369465,1.7090556653626248,23
Boltonia_217,0.0185766,-0.00304294,0.00243436,-0.0133365,-0.018084,0.00173422,-0.00584521,0.0466551,7.5111e-4,-0.00198716,B. decurrens,217,7-1-4,2011-2650-1,18A,Illinois,Woodford,40.8852777,-89.4583333,40.84668797480775,-89.0297386240063,-89.4583333,40.8852777,4.494366810369465,1.7090556653626248,23
Boltonia_218,0.0179359,-0.00111456,0.0032942,-0.00868436,-0.0129426,0.00118353,-0.00198661,0.0127687,-7.21705e-4,-6.77224e-4,B. decurrens,218,3-6-9,2011-2598-1,L14A,Illinois,Jersey,NA,NA,38.961398423802066,-90.51481032460988,-90.51481032460988,38.961398423802066,4.494366810369465,1.7090556653626248,23
Boltonia_219,0.0180372,-0.00150536,0.00165537,-0.0110867,-0.0148868,0.00143072,-0.00384413,0.0308087,5.53841e-4,-6.43535e-5,B. decurrens,219,3-2-1,2011-2661-1,25A,Illinois,Tazewell,NA,NA,40.69584983597212,-89.54394792156027,-89.54394792156027,40.69584983597212,4.494366810369465,1.7090556653626248,23
