index,mean_stemLength,c_stemLength,SD_stemLength,sample_size
183,NA,NA,NA,NA
184,NA,NA,NA,NA
185,NA,NA,NA,NA
186,NA,NA,NA,NA
187,NA,NA,NA,NA
188,73.875,"76.5, 70.2, 69.8, 79",4.592294270478174,4
189,NA,NA,NA,NA
190,46.349999999999994,"46.4, 46.3",0.07071067811865576,2
191,NA,NA,NA,NA
192,NA,NA,NA,NA
193,NA,NA,NA,NA
194,NA,NA,NA,NA
195,44.93333333333333,"50.3, 42.5, 42",4.6543886100467935,3
196,NA,NA,NA,NA
197,NA,NA,NA,NA
198,NA,NA,NA,NA
199,NA,NA,NA,NA
200,66.80000000000001,"66.7, 66.9",0.14142135623731153,2
201,NA,NA,NA,NA
202,33.7,33.7,NA,1
203,NA,NA,NA,NA
204,NA,NA,NA,NA
205,NA,NA,NA,NA
206,NA,NA,NA,NA
207,NA,NA,NA,NA
208,NA,NA,NA,NA
209,NA,NA,NA,NA
210,NA,NA,NA,NA
211,NA,NA,NA,NA
212,NA,NA,NA,NA
213,NA,NA,NA,NA
214,NA,NA,NA,NA
215,NA,NA,NA,NA
216,NA,NA,NA,NA
217,NA,NA,NA,NA
218,NA,NA,NA,NA
219,NA,NA,NA,NA
220,NA,NA,NA,NA
221,NA,NA,NA,NA
222,NA,NA,NA,NA
223,NA,NA,NA,NA
224,NA,NA,NA,NA
225,62.8,62.8,NA,1
226,64.15,"64.5, 63.8",0.4949747468305853,2
227,NA,NA,NA,NA
228,NA,NA,NA,NA
229,35.1,"35.2, 35",0.14142135623731153,2
230,NA,NA,NA,NA
231,NA,NA,NA,NA
232,48.5,48.5,NA,1
233,NA,NA,NA,NA
234,NA,NA,NA,NA
235,NA,NA,NA,NA
236,NA,NA,NA,NA
237,NA,NA,NA,NA
238,NA,NA,NA,NA
239,NA,NA,NA,NA
240,45.4,45.4,NA,1
241,NA,NA,NA,NA
242,NA,NA,NA,NA
243,27.266666666666666,"18, 18.3, 45.5",15.791242298607584,3
244,NA,NA,NA,NA
245,NA,NA,NA,NA
246,NA,NA,NA,NA
247,NA,NA,NA,NA
248,NA,NA,NA,NA
249,NA,NA,NA,NA
250,42.6,"42.6, 42.6",0,2
251,NA,NA,NA,NA
252,NA,NA,NA,NA
253,NA,NA,NA,NA
254,NA,NA,NA,NA
255,NA,NA,NA,NA
256,NA,NA,NA,NA
257,NA,NA,NA,NA
258,NA,NA,NA,NA
259,NA,NA,NA,NA
260,NA,NA,NA,NA
261,NA,NA,NA,NA
262,NA,NA,NA,NA
263,NA,NA,NA,NA
264,NA,NA,NA,NA
265,NA,NA,NA,NA
266,NA,NA,NA,NA
267,NA,NA,NA,NA
268,NA,NA,NA,NA
269,NA,NA,NA,NA
270,NA,NA,NA,NA
271,NA,NA,NA,NA
272,NA,NA,NA,NA
273,NA,NA,NA,NA
274,54.225,"55, 53.4, 54.3, 54.2",0.6551081335677853,4
275,NA,NA,NA,NA
276,NA,NA,NA,NA
